District,Month,rainfall
Dehradun,1,43.00769230769231
Pauri Garhwal,1,56.17777777777778
TehriGarhwal,1,45.633333333333326
Haridwar,1,31.25384615384616
Nainital,1,42.723076923076924
Bankura,1,10.330769230769231
Birbhum,1,8.438461538461535
Burdwan,1,8.607692307692307
Cooch Behar,1,6.45
Darjeeling,1,6.3999999999999995
Hooghly,1,10.738461538461538
Howrah,1,9.73076923076923
Jalpaiguri,1,3.8615384615384607
Malda,1,9.115384615384615
medinipur,1,19.674999999999997
Murshidabad,1,7.430769230769231
Nadia,1,9.96923076923077
Parganas,1,15.523076923076925
Dinajpur,1,46.26666666666666
Purulia,1,12.446153846153846
Parganas,1,16.323076923076922
Dinajpur,1,1.853846153846154
Calcutta,1,15.36
Medinipur,1,7.971428571428572
medinipur,1,11.75
Mahbubnagar,1,2.161538461538462
Rangareddy,1,2.6153846153846154
Hyderabad,1,3.872727272727273
Nalgonda,1,9.136363636363637
J Bhupalpally,1,15.533333333333333
Jagtial,1,16.53333333333333
Mancherial,1,8.466666666666667
Narayanpet,1,11.0
Nirmal,1,4.1
Peddapalli,1,19.099999999999998
Sangareddy,1,5.7
Warangal,1,6.300000000000001
Warangal,1,8.666666666666666
Y Bhuvanagiri,1,2.766666666666667
Kothagudem,1,5.366666666666667
Jangaon,1,12.200000000000001
Gadwal,1,14.933333333333332
Asifabad,1,10.466666666666667
M Malkajgiri,1,3.6666666666666665
Mahabubabad,1,11.333333333333334
Mulugu,1,5.2
Nagarkurnool,1,10.366666666666665
Sircilla,1,17.133333333333336
Siddipet,1,14.033333333333333
Suryapet,1,9.566666666666666
Vikarabad,1,0.4000000000000001
Wanaparthy,1,8.666666666666666
Nizamabad,1,5.154545454545455
Khammam,1,8.790909090909091
Warangal,1,4.2875
Karimnagar,1,9.9
Medak,1,3.2818181818181817
Adilabad,1,6.663636363636363
Pratapgarh,1,7.340000000000001
Bikaner,1,2.1076923076923078
Jaisalmer,1,2.2615384615384615
Banswara,1,5.199999999999999
Dausa,1,7.553846153846153
Baran,1,6.053846153846153
Bundi,1,5.1692307692307695
Dungarpur,1,2.753846153846154
Jalore,1,1.9461538461538461
Karauli,1,9.546153846153846
Sawai Madhopur,1,7.1461538461538465
Tonk,1,5.615384615384615
Barmer,1,1.0538461538461539
Jhalawar,1,7.123076923076923
Kota,1,5.238461538461538
Sirohi,1,1.123076923076923
Sri Ganganagar,1,4.266666666666667
Sikar,1,2.669230769230769
Udaipur,1,2.661538461538462
Pali,1,2.169230769230769
Bharatpur,1,10.523076923076921
Chittorgarh,1,3.823076923076923
Hanumangarh,1,4.23076923076923
Jhunjhunu,1,3.4538461538461536
Churu,1,6.046153846153846
Nagaur,1,3.746153846153846
Jodhpur,1,2.123076923076923
Ajmer,1,3.246153846153846
Alwar,1,5.915384615384616
Bhilwara,1,3.4769230769230766
Jaipur,1,4.592307692307693
Dholpur,1,12.315384615384618
Rajsamand,1,0.7692307692307693
Champhai,1,0.5666666666666667
Serchhip,1,0.9428571428571428
Kolasib,1,16.966666666666665
Lawngtlai,1,35.9
Mamit,1,23.6
Saiha,1,16.633333333333333
Lunglei,1,8.75
Chhimtuipui,1,0.0
Aizawl,1,12.158333333333333
Imphal,1,2.0875
Ukhrul,1,12.360000000000001
Tamenglong,1,0.0
Chandel,1,5.216666666666666
Bishnupur,1,7.2
Thoubal,1,7.516666666666667
Imphal,1,14.399999999999999
Senapati,1,5.763636363636364
Churachandpur,1,4.619999999999999
Tirupur,1,2.2299999999999995
Thoothukudi,1,4.483333333333333
Kallakurichi,1,7.2
Tenkasi,1,13.5
Chengalpattu,1,53.8
Ranipet,1,18.8
Tirupathur,1,5.0
Ariyalur,1,20.130000000000003
Coimbatore,1,3.676923076923077
Erode,1,1.2692307692307692
Tiruvallur,1,9.338461538461537
Vellore,1,5.06923076923077
Virudhunagar,1,5.953846153846153
Cuddalore,1,30.53076923076923
Krishnagiri,1,2.369230769230769
Nilgiris,1,11.276923076923076
Salem,1,3.6153846153846154
Theni,1,5.192307692307693
Tirunelvelli,1,21.476923076923075
Ramanathapuram,1,15.338461538461539
Tiruvannamalai,1,7.007692307692308
Namakkal,1,3.123076923076923
Dharmapuri,1,3.9538461538461536
Dindigul,1,8.592307692307692
Perambalur,1,10.184615384615386
Villupuram,1,9.683333333333332
Kanyakumari,1,16.93846153846154
Chennai,1,13.207692307692305
Sivaganga,1,10.915384615384616
Pudukkottai,1,8.66923076923077
Kanchipuram,1,9.723076923076924
Madurai,1,6.523076923076922
Tiruvarur,1,24.769230769230774
Trichy,1,8.207692307692309
Thanjavur,1,18.230769230769234
Nagapattinam,1,39.36923076923077
Karur,1,3.815384615384615
Tuticorin,1,6.516666666666666
Gautam Buddha Nagar,1,20.05
Amethi,1,7.3
Shravasti,1,7.25
Hapur,1,54.5
Sambhal,1,41.0
Chitrakoot,1,15.15
Shamli,1,11.65
Mahoba,1,10.79
Chandauli,1,8.780000000000001
Kaushambi,1,17.66
Ramnagar,1,32.39
Sant Kabir Nagar,1,16.2
Kannauj,1,22.27
Auraiya,1,37.36153846153846
Baghpat,1,19.507692307692306
Balrampur,1,47.51538461538462
Deoria,1,30.807692307692314
Faizabad,1,12.876923076923076
Bijnore,1,28.53076923076923
Fatehpur,1,35.93076923076923
Firozabad,1,50.6076923076923
Ghaziabad,1,11.599999999999998
Bulandshahr,1,13.961538461538462
Ghazipur,1,8.2
Hamirpur,1,14.22307692307692
Etah,1,14.576923076923078
Ballia,1,35.08461538461539
Etawah,1,8.192307692307692
Gonda,1,36.23076923076923
Banda,1,17.746153846153845
Barabanki,1,24.599999999999998
Allahabad,1,17.476923076923075
Basti,1,17.72307692307692
Azamgarh,1,32.54615384615385
Aligarh,1,14.784615384615385
Badaun,1,19.692307692307693
Gorakhpur,1,9.846153846153847
Agra,1,11.984615384615385
Bahraich,1,17.453846153846154
Kheri,1,21.584615384615386
KushiNagar,1,16.423076923076923
Ambedkar Nagar,1,10.907692307692308
Bareilly,1,22.0
Jalaun,1,16.315384615384616
Jhansi,1,16.04615384615385
Jyotiba Phule Nagar,1,12.238461538461538
Kanpur,1,21.42307692307692
Amethi,1,32.14545454545455
Sant Ravidas Nagar,1,78.82307692307693
Shahjahanpur,1,13.29230769230769
Shravasti,1,58.32000000000001
SiddharthNagar,1,52.43846153846154
Sitapur,1,14.938461538461537
Sonbhadra,1,12.446153846153845
Sultanpur,1,15.546153846153848
Unnao,1,52.03076923076923
Varanasi,1,13.684615384615386
Lalitpur,1,13.423076923076923
Lucknow,1,16.26153846153846
Hathras,1,21.292307692307695
Maharajganj,1,18.207692307692305
Mainpuri,1,14.807692307692308
Mathura,1,4.038461538461538
Mau,1,22.184615384615384
Meerut,1,21.053846153846152
Mirzapur,1,34.646153846153844
Moradabad,1,16.76923076923077
Muzaffarnagar,1,28.34615384615385
Pilibhit,1,16.015384615384615
